i (°),y (cm)
38,29
40,25
42,23.5
44,22.5
46,21.75
48,21.25
50,20.95
52,20.8
54,20.75
56,20.85
58,21.1
60,21.5
62,22
64,22.5
66,23
68,23.5
70,24.5
72,25.5
74,27
76,28
78,29.5
