i (°),y (cm)
40,30
42,27
44,25
46,23.75
48,23
50,22.5
52,22.15
54,22
56,22.15
58,22.5
60,23
62,23.5
64,24
66,24.5
68,25.5
70,26.5
72,27
74,28.5
