Time;Channel A;Channel B
(ms);(V);(V)
;;
-45.02770677;-0.05432295;-0.00854518
-45.00722677;0.03387555;-0.00854518
-44.98674677;0.03387555;-0.00854518
-44.96626677;-0.05432295;-0.00854518
-44.94578677;-0.05432295;-0.00854518
-44.92530677;0.03387555;0.08026368
-44.90482677;0.03387555;-0.00854518
-44.88434677;0.122074;-0.00854518
-44.86386677;0.03387555;-0.00854518
-44.84338677;-0.05432295;-0.00854518
-44.82290677;-0.05432295;-0.00854518
-44.80242677;0.03387555;-0.00854518
-44.78194677;0.03387555;-0.00854518
-44.76146677;0.03387555;-0.00854518
-44.74098677;-0.05432295;-0.00854518
-44.72050677;-0.05432295;-0.00854518
-44.70002677;0.03387555;-0.00854518
-44.67954677;-0.05432295;-0.00854518
-44.65906677;0.03387555;-0.00854518
-44.63858677;0.03387555;-0.00854518
-44.61810677;0.03387555;-0.00854518
-44.59762677;0.03387555;-0.00854518
-44.57714677;0.03387555;-0.00854518
-44.55666677;-0.05432295;-0.00854518
-44.53618678;0.03387555;-0.00854518
-44.51570678;-0.05432295;0.08026368
-44.49522678;0.03387555;-0.00854518
-44.47474678;0.03387555;-0.00854518
-44.45426678;0.03387555;-0.00854518
-44.43378678;0.03387555;-0.00854518
-44.41330678;0.03387555;-0.00854518
-44.39282678;0.03387555;-0.00854518
-44.37234678;-0.05432295;-0.00854518
-44.35186678;-0.05432295;-0.00854518
-44.33138678;-0.05432295;-0.00854518
-44.31090678;0.03387555;-0.00854518
-44.29042678;-0.05432295;-0.00854518
-44.26994678;-0.05432295;-0.00854518
-44.24946678;-0.05432295;-0.00854518
-44.22898678;0.03387555;-0.00854518
-44.20850678;0.03387555;0.08026368
-44.18802678;-0.05432295;-0.00854518
-44.16754678;0.03387555;-0.00854518
-44.14706678;0.03387555;-0.00854518
-44.12658678;0.03387555;-0.00854518
-44.10610678;0.03387555;-0.00854518
-44.08562678;0.03387555;-0.00854518
-44.06514678;0.03387555;-0.00854518
-44.04466678;-0.05432295;-0.00854518
-44.02418678;0.03387555;-0.00854518
-44.00370678;0.03387555;-0.00854518
-43.98322678;0.03387555;-0.00854518
-43.96274678;-0.05432295;-0.00854518
-43.94226678;0.03387555;-0.00854518
-43.92178678;0.03387555;-0.00854518
-43.90130678;0.03387555;-0.00854518
-43.88082678;0.03387555;-0.00854518
-43.86034678;-0.05432295;-0.00854518
-43.83986678;0.03387555;-0.00854518
-43.81938678;0.03387555;-0.00854518
-43.79890678;0.03387555;-0.00854518
-43.77842678;0.03387555;-0.00854518
-43.75794678;-0.05432295;-0.00854518
-43.73746678;-0.05432295;-0.00854518
-43.71698678;0.03387555;-0.00854518
-43.69650678;0.03387555;-0.00854518
-43.67602678;-0.05432295;-0.00854518
-43.65554678;0.03387555;-0.00854518
-43.63506678;-0.05432295;-0.00854518
-43.61458678;-0.05432295;-0.00854518
-43.59410678;0.03387555;-0.00854518
-43.57362678;0.03387555;-0.00854518
-43.55314678;0.03387555;-0.00854518
-43.53266678;0.03387555;-0.00854518
-43.51218678;0.03387555;-0.00854518
-43.49170678;0.03387555;-0.00854518
-43.47122678;0.03387555;-0.00854518
-43.45074678;0.03387555;-0.00854518
-43.43026678;0.03387555;-0.00854518
-43.40978678;0.03387555;-0.00854518
-43.38930678;0.03387555;-0.00854518
-43.36882678;0.03387555;-0.00854518
-43.34834678;-0.05432295;-0.00854518
-43.32786678;0.03387555;0.08026368
-43.30738678;0.03387555;-0.00854518
-43.28690678;-0.05432295;-0.00854518
-43.26642678;0.03387555;-0.00854518
-43.24594678;-0.05432295;-0.00854518
-43.22546678;0.03387555;-0.00854518
-43.20498678;-0.05432295;-0.00854518
-43.18450678;0.03387555;-0.00854518
-43.16402678;0.03387555;0.08026368
-43.14354678;-0.05432295;-0.00854518
-43.12306678;0.03387555;-0.00854518
-43.10258678;0.03387555;-0.00854518
-43.08210678;0.03387555;0.08026368
-43.06162678;0.03387555;-0.00854518
-43.04114678;0.03387555;-0.00854518
-43.02066678;0.03387555;-0.00854518
-43.00018678;0.03387555;-0.00854518
-42.97970678;0.03387555;-0.00854518
-42.95922678;-0.05432295;-0.00854518
-42.93874678;0.03387555;-0.00854518
-42.91826678;0.03387555;0.08026368
-42.89778679;0.03387555;-0.00854518
-42.87730679;0.03387555;-0.00854518
-42.85682679;0.03387555;-0.00854518
-42.83634679;0.03387555;-0.00854518
-42.81586679;0.03387555;-0.00854518
-42.79538679;0.03387555;-0.00854518
-42.77490679;0.03387555;-0.00854518
-42.75442679;0.03387555;-0.00854518
