Frequency;Channel A;Channel B
(ms);(V);(V)

-41.82008422;0.03387555;-0.00854518
-41.79960422;0.03387555;-0.00854518
-41.77912422;-0.05432295;-0.00854518
-41.75864422;-0.05432295;-0.00854518
-41.73816422;0.03387555;-0.00854518
-41.71768422;-0.05432295;-0.00854518
-41.69720422;0.03387555;-0.00854518
-41.67672422;0.03387555;-0.00854518
-41.65624422;0.03387555;-0.00854518
-41.63576422;-0.05432295;-0.00854518
-41.61528422;0.03387555;-0.00854518
-41.59480422;-0.05432295;-0.00854518
-41.57432422;0.03387555;0.08026368
-41.55384422;0.03387555;-0.00854518
-41.53336422;0.03387555;-0.00854518
-41.51288422;0.03387555;-0.00854518
-41.49240422;-0.05432295;0.08026368
-41.47192422;0.03387555;-0.00854518
-41.45144422;0.03387555;-0.00854518
-41.43096422;0.03387555;-0.00854518
-41.41048422;-0.05432295;0.08026368
-41.39000422;0.03387555;-0.00854518
-41.36952422;0.03387555;-0.00854518
-41.34904422;0.03387555;-0.00854518
-41.32856422;-0.05432295;-0.00854518
-41.30808422;0.03387555;-0.00854518
-41.28760422;0.03387555;-0.00854518
-41.26712422;0.03387555;-0.00854518
-41.24664422;0.03387555;-0.00854518
-41.22616422;0.03387555;-0.00854518
-41.20568422;-0.05432295;-0.00854518
-41.18520422;0.03387555;-0.00854518
-41.16472422;-0.05432295;-0.00854518
-41.14424422;0.03387555;-0.00854518
-41.12376422;-0.05432295;-0.00854518
-41.10328422;-0.05432295;-0.00854518
-41.08280422;0.03387555;-0.00854518
-41.06232422;0.03387555;-0.00854518
-41.04184422;-0.05432295;-0.00854518
-41.02136422;0.03387555;-0.00854518
-41.00088422;0.03387555;-0.00854518
-40.98040422;0.03387555;-0.00854518
-40.95992422;-0.05432295;-0.00854518
-40.93944422;0.03387555;-0.00854518
-40.91896423;0.03387555;-0.00854518
-40.89848423;0.03387555;-0.00854518
-40.87800423;0.03387555;-0.00854518
-40.85752423;0.03387555;0.08026368
-40.83704423;-0.05432295;0.08026368
-40.81656423;0.03387555;0.08026368
-40.79608423;0.03387555;-0.00854518
-40.77560423;0.03387555;-0.00854518
-40.75512423;-0.05432295;0.08026368
-40.73464423;0.03387555;-0.00854518
-40.71416423;0.03387555;-0.00854518
-40.69368423;0.03387555;-0.00854518
-40.67320423;-0.05432295;-0.00854518
-40.65272423;-0.05432295;-0.00854518
-40.63224423;0.03387555;-0.00854518
-40.61176423;0.03387555;-0.00854518
-40.59128423;0.03387555;-0.00854518
-40.57080423;0.03387555;0.08026368
-40.55032423;-0.05432295;-0.00854518
-40.52984423;0.03387555;-0.00854518
-40.50936423;0.03387555;-0.00854518
-40.48888423;0.03387555;0.08026368
-40.46840423;0.03387555;-0.00854518
-40.44792423;-0.05432295;-0.00854518
-40.42744423;-0.05432295;0.08026368
-40.40696423;-0.05432295;-0.00854518
-40.38648423;-0.05432295;-0.00854518
-40.36600423;0.03387555;-0.00854518
-40.34552423;0.03387555;-0.00854518
-40.32504423;0.03387555;-0.00854518
-40.30456423;0.03387555;-0.00854518
-40.28408423;0.03387555;-0.00854518
-40.26360423;0.03387555;-0.00854518
-40.24312423;0.03387555;-0.00854518
-40.22264423;0.03387555;0.08026368
-40.20216423;0.03387555;-0.00854518
-40.18168423;-0.05432295;-0.00854518
-40.16120423;0.03387555;-0.00854518
-40.14072423;0.03387555;0.08026368
-40.12024423;-0.05432295;-0.00854518
-40.09976423;-0.05432295;-0.00854518
-40.07928423;0.03387555;-0.00854518
-40.05880423;0.03387555;-0.00854518
-40.03832423;0.03387555;-0.00854518
-40.01784423;0.03387555;-0.00854518
-39.99736423;2.06122000;-0.00854518
-39.97688423;2.06122000;-0.00854518
-39.95640423;2.06122000;-0.00854518
-39.93592423;2.06122000;-0.00854518
-39.91544423;2.06122000;-0.00854518
