Time;Channel A;Channel B
(ms);(V);(V)

-45.03535852;0.03387555;-0.00854518
-45.01487852;0.03387555;-0.00854518
-44.99439852;0.03387555;0.08026368
-44.97391852;0.03387555;-0.00854518
-44.95343852;0.03387555;-0.00854518
-44.93295852;0.03387555;-0.00854518
-44.91247852;0.03387555;0.08026368
-44.89199852;0.03387555;-0.00854518
-44.87151852;-0.05432295;0.08026368
-44.85103852;0.03387555;0.08026368
-44.83055852;0.03387555;-0.00854518
-44.81007852;0.03387555;-0.00854518
-44.78959852;0.03387555;0.08026368
-44.76911852;0.03387555;-0.00854518
-44.74863852;0.03387555;-0.00854518
-44.72815852;0.03387555;0.08026368
-44.70767852;0.03387555;-0.00854518
-44.68719852;0.03387555;-0.00854518
-44.66671852;0.03387555;-0.00854518
-44.64623852;0.03387555;-0.00854518
-44.62575852;0.03387555;-0.00854518
-44.60527852;0.03387555;-0.00854518
-44.58479852;0.03387555;-0.00854518
-44.56431852;0.03387555;-0.00854518
-44.54383852;0.03387555;-0.00854518
-44.52335852;0.03387555;-0.00854518
-44.50287852;0.03387555;-0.00854518
-44.48239852;-0.05432295;-0.00854518
-44.46191852;0.12207400;0.08026368
-44.44143852;0.03387555;-0.00854518
-44.42095852;0.03387555;-0.00854518
-44.40047852;0.03387555;-0.00854518
-44.37999852;0.03387555;-0.00854518
-44.35951852;0.03387555;-0.00854518
-44.33903852;0.03387555;-0.00854518
-44.31855852;0.03387555;-0.00854518
-44.29807852;0.03387555;-0.00854518
-44.27759852;0.03387555;0.08026368
-44.25711852;0.03387555;-0.00854518
-44.23663852;0.03387555;-0.00854518
-44.21615852;0.03387555;-0.00854518
-44.19567852;0.03387555;-0.00854518
-44.17519852;0.03387555;0.08026368
-44.15471852;0.03387555;-0.00854518
-44.13423852;0.03387555;-0.00854518
-44.11375852;0.03387555;-0.00854518
-44.09327852;0.03387555;-0.00854518
-44.07279852;0.03387555;0.08026368
-44.05231852;0.03387555;-0.00854518
-44.03183852;0.03387555;-0.00854518
-44.01135852;0.03387555;-0.00854518
-43.99087852;0.03387555;-0.00854518
-43.97039852;-0.05432295;-0.00854518
-43.94991852;0.03387555;-0.00854518
-43.92943853;-0.05432295;-0.00854518
-43.90895853;-0.05432295;-0.00854518
-43.88847853;-0.05432295;-0.00854518
-43.86799853;-0.05432295;-0.00854518
-43.84751853;0.03387555;-0.00854518
-43.82703853;0.03387555;-0.00854518
-43.80655853;0.03387555;0.08026368
-43.78607853;-0.05432295;-0.00854518
-43.76559853;0.03387555;-0.00854518
-43.74511853;-0.05432295;0.08026368
-43.72463853;0.03387555;-0.00854518
-43.70415853;-0.05432295;-0.00854518
-43.68367853;0.03387555;-0.00854518
-43.66319853;0.03387555;-0.00854518
-43.64271853;-0.05432295;-0.00854518
-43.62223853;0.03387555;-0.00854518
-43.60175853;0.03387555;-0.00854518
-43.58127853;0.03387555;-0.00854518
-43.56079853;0.03387555;-0.00854518
-43.54031853;0.03387555;-0.00854518
-43.51983853;-0.05432295;-0.00854518
-43.49935853;0.03387555;-0.00854518
-43.47887853;0.03387555;-0.00854518
-43.45839853;0.03387555;-0.00854518
-43.43791853;-0.05432295;-0.00854518
-43.41743853;0.03387555;-0.00854518
-43.39695853;-0.05432295;-0.00854518
-43.37647853;0.03387555;-0.00854518
-43.35599853;0.03387555;-0.00854518
-43.33551853;0.03387555;-0.00854518
-43.31503853;0.03387555;-0.00854518
-43.29455853;0.03387555;-0.00854518
-43.27407853;0.03387555;-0.00854518
-43.25359853;0.03387555;-0.00854518
-43.23311853;0.03387555;-0.00854518
-43.21263853;0.03387555;-0.00854518
-43.19215853;0.03387555;-0.00854518
-43.17167853;-0.05432295;-0.00854518
-43.15119853;0.03387555;0.08026368
-43.13071853;0.03387555;-0.00854518
-43.11023853;0.03387555;-0.00854518
-43.08975853;0.03387555;-0.00854518
-43.06927853;0.03387555;-0.00854518
-43.04879853;0.03387555;-0.00854518
-43.02831853;-0.05432295;-0.00854518
-43.00783853;0.03387555;0.08026368
-42.98735853;0.03387555;-0.00854518
-42.96687853;0.03387555;-0.00854518
-42.94639853;-0.05432295;-0.00854518
-42.92591853;0.03387555;-0.00854518
-42.90543853;0.03387555;0.08026368
-42.88495853;0.03387555;0.08026368
-42.86447853;0.03387555;-0.00854518
-42.84399853;-0.05432295;0.08026368
-42.82351853;-0.05432295;-0.00854518
-42.80303853;-0.05432295;-0.00854518
-42.78255853;0.03387555;-0.00854518
-42.76207853;0.03387555;-0.00854518
-42.74159853;0.03387555;0.08026368
-42.72111853;-0.05432295;-0.00854518
